date;ibov_returns;cpi_inflation;brl_dollar;interest_rates
1998-01-01;-4,68%;0,7097%;0,57%;42,90%
1998-02-01;8,76%;0,4603%;0,66%;42,00%
1998-03-01;13,02%;0,3397%;0,54%;38,54%
1998-04-01;-2,26%;0,2397%;0,66%;36,55%
1998-05-01;-15,67%;0,5001%;0,58%;33,30%
1998-06-01;-1,72%;0,0198%;0,59%;29,41%
1998-07-01;10,63%;-0,1199%;0,62%;27,80%
1998-08-01;-39,55%;-0,5097%;0,89%;25,75%
1998-09-01;1,87%;-0,2202%;0,75%;42,34%
1998-10-01;6,89%;0,0199%;0,71%;49,75%
1998-11-01;22,48%;-0,1203%;0,36%;44,88%
1998-12-01;-21,40%;0,3303%;1,01%;39,41%
1999-01-01;20,46%;0,7002%;25,46%;38,25%
1999-02-01;9,04%;1,0501%;27,39%;41,00%
1999-03-01;20,03%;1,0999%;-1,06%;46,00%
1999-04-01;6,12%;0,5599%;-10,66%;32,00%
1999-05-01;-2,30%;0,3003%;-1,01%;23,50%
1999-06-01;4,84%;0,1897%;4,84%;21,00%
1999-07-01;-10,19%;1,0897%;2,00%;19,50%
1999-08-01;1,18%;0,5599%;4,64%;19,50%
1999-09-01;5,12%;0,3102%;0,68%;19,00%
1999-10-01;5,35%;1,1903%;3,69%;19,00%
1999-11-01;17,77%;0,9500%;-1,90%;19,00%
1999-12-01;24,04%;0,5997%;-4,51%;19,00%
2000-01-01;-4,12%;0,6201%;-2,09%;19,00%
2000-02-01;7,76%;0,1301%;-1,62%;19,00%
2000-03-01;0,91%;0,2199%;-1,92%;18,50%
2000-04-01;-12,81%;0,4202%;1,56%;18,50%
2000-05-01;-3,74%;0,0099%;3,29%;18,50%
2000-06-01;11,84%;0,2303%;-0,98%;17,50%
2000-07-01;-1,63%;1,6103%;-0,65%;16,50%
2000-08-01;5,42%;1,3099%;0,61%;16,50%
2000-09-01;-8,18%;0,2298%;1,69%;16,50%
2000-10-01;-6,66%;0,1399%;2,26%;16,50%
2000-11-01;-10,63%;0,3201%;3,56%;16,50%
2000-12-01;14,84%;0,5897%;0,76%;15,75%
2001-01-01;15,82%;0,5703%;-0,36%;15,25%
2001-02-01;-10,08%;0,4601%;2,55%;15,25%
2001-03-01;-9,14%;0,3798%;4,46%;15,75%
2001-04-01;3,32%;0,5799%;4,67%;16,25%
2001-05-01;-1,80%;0,4100%;4,52%;16,75%
2001-06-01;-0,61%;0,5202%;3,76%;18,25%
2001-07-01;-5,54%;1,3299%;3,96%;19,00%
2001-08-01;-6,64%;0,6998%;1,58%;19,00%
2001-09-01;-17,17%;0,2799%;6,55%;19,00%
2001-10-01;6,85%;0,8300%;2,39%;19,00%
2001-11-01;13,79%;0,7102%;-7,03%;19,00%
2001-12-01;5,00%;0,6502%;-7,24%;19,00%
2002-01-01;-6,31%;0,5202%;0,69%;19,00%
2002-02-01;10,31%;0,3600%;1,86%;18,75%
2002-03-01;-5,54%;0,5999%;-3,27%;18,50%
2002-04-01;-1,28%;0,8002%;-0,95%;18,50%
2002-05-01;-1,71%;0,2098%;6,57%;18,50%
2002-06-01;-13,39%;0,4198%;9,66%;18,50%
2002-07-01;-12,35%;1,1902%;8,36%;18,00%
2002-08-01;6,34%;0,6498%;5,67%;18,00%
2002-09-01;-16,94%;0,7198%;7,93%;18,00%
2002-10-01;17,92%;1,3102%;13,17%;21,00%
2002-11-01;3,35%;3,0202%;-5,38%;22,00%
2002-12-01;7,22%;2,0998%;0,96%;25,00%
2003-01-01;-2,90%;2,2502%;-5,22%;25,50%
2003-02-01;-6,03%;1,5702%;4,60%;26,50%
2003-03-01;9,66%;1,2302%;-3,86%;26,50%
2003-04-01;11,38%;0,9699%;-10,06%;26,50%
2003-05-01;6,89%;0,6101%;-5,06%;26,50%
2003-06-01;-3,35%;-0,1501%;-2,13%;26,00%
2003-07-01;4,62%;0,2000%;-0,19%;24,50%
2003-08-01;11,80%;0,3400%;4,23%;22,00%
2003-09-01;5,52%;0,7801%;-2,83%;20,00%
2003-10-01;12,31%;0,2899%;-1,97%;19,00%
2003-11-01;12,25%;0,3402%;1,82%;17,50%
2003-12-01;10,17%;0,5198%;0,36%;16,50%
2004-01-01;-1,73%;0,7598%;-2,47%;16,50%
2004-02-01;-0,44%;0,6099%;2,84%;16,50%
